health_board,cancer_site,sex,year,incidences_all_ages,crude_rate
NHS Ayrshire and Arran,All cancer types,All,1994,1815,484.84039000935
NHS Ayrshire and Arran,All cancer types,All,1995,1839,491.435290344993
NHS Ayrshire and Arran,All cancer types,All,1996,2014,539.729331368083
NHS Ayrshire and Arran,All cancer types,All,1997,2019,541.649899396378
NHS Ayrshire and Arran,All cancer types,All,1998,1958,526.64138357675
NHS Ayrshire and Arran,All cancer types,All,1999,1966,530.548359240069
NHS Ayrshire and Arran,All cancer types,All,2000,1940,526.073162133579
NHS Ayrshire and Arran,All cancer types,All,2001,1989,540.063536886693
NHS Ayrshire and Arran,All cancer types,All,2002,2042,555.646258503401
NHS Ayrshire and Arran,All cancer types,All,2003,2142,582.52427184466
NHS Ayrshire and Arran,All cancer types,All,2004,2184,592.592592592593
NHS Ayrshire and Arran,All cancer types,All,2005,2124,575.609756097561
NHS Ayrshire and Arran,All cancer types,All,2006,2107,570.492513470338
NHS Ayrshire and Arran,All cancer types,All,2007,2195,592.043155765341
NHS Ayrshire and Arran,All cancer types,All,2008,2306,619.692572288509
NHS Ayrshire and Arran,All cancer types,All,2009,2343,629.111510887952
NHS Ayrshire and Arran,All cancer types,All,2010,2384,639.467825433867
NHS Ayrshire and Arran,All cancer types,All,2011,2324,621.789383561644
NHS Ayrshire and Arran,All cancer types,All,2012,2440,653.769894432238
NHS Ayrshire and Arran,All cancer types,All,2013,2585,694.444444444444
NHS Ayrshire and Arran,All cancer types,All,2014,2509,676.025219593684
NHS Ayrshire and Arran,All cancer types,All,2015,2569,693.21892117974
NHS Ayrshire and Arran,All cancer types,All,2016,2453,661.971070811744
NHS Ayrshire and Arran,All cancer types,All,2017,2482,670.068302691612
NHS Ayrshire and Arran,All cancer types,All,2018,2529,684.123677874861
NHS Ayrshire and Arran,All cancer types,Male,1994,857,480.098596677964
NHS Ayrshire and Arran,All cancer types,Male,1995,865,484.754064368615
NHS Ayrshire and Arran,All cancer types,Male,1996,946,531.368132516247
NHS Ayrshire and Arran,All cancer types,Male,1997,953,536.128175701523
