health_board,cancer_site,sex,year,incidences_all_ages,crude_rate
scotland_wide,All cancer types,All,1994,25596,501.664964789768
scotland_wide,All cancer types,All,1995,25737,504.282195823022
scotland_wide,All cancer types,All,1996,27251,535.152851719987
scotland_wide,All cancer types,All,1997,26198,515.369815908438
scotland_wide,All cancer types,All,1998,25758,507.339863346379
scotland_wide,All cancer types,All,1999,25846,509.587042459015
scotland_wide,All cancer types,All,2000,26168,516.853843814068
scotland_wide,All cancer types,All,2001,26191,517.179416294775
scotland_wide,All cancer types,All,2002,26767,528.365574417687
scotland_wide,All cancer types,All,2003,27133,535.326033343198
scotland_wide,All cancer types,All,2004,27841,547.587671852566
scotland_wide,All cancer types,All,2005,27524,538.60905639701
scotland_wide,All cancer types,All,2006,28063,546.717319306448
scotland_wide,All cancer types,All,2007,28917,559.323017408124
scotland_wide,All cancer types,All,2008,29812,572.98814122893
scotland_wide,All cancer types,All,2009,30600,584.873564097173
scotland_wide,All cancer types,All,2010,30597,581.448823685911
scotland_wide,All cancer types,All,2011,31303,590.633785543124
scotland_wide,All cancer types,All,2012,31612,594.926227040048
scotland_wide,All cancer types,All,2013,32223,604.820091221353
scotland_wide,All cancer types,All,2014,32825,613.826763407884
scotland_wide,All cancer types,All,2015,32575,606.272101246976
scotland_wide,All cancer types,All,2016,32491,601.161951634688
scotland_wide,All cancer types,All,2017,32790,604.446246866244
scotland_wide,All cancer types,All,2018,33958,624.44603813832
scotland_wide,All cancer types,Male,1994,12610,513.992749482135
scotland_wide,All cancer types,Male,1995,12568,512.278502115268
scotland_wide,All cancer types,Male,1996,13409,547.972636104323
scotland_wide,All cancer types,Male,1997,12609,516.27099129435
scotland_wide,All cancer types,Male,1998,12481,511.728005556396
scotland_wide,All cancer types,Male,1999,12428,510.068601518139
scotland_wide,All cancer types,Male,2000,12540,515.640689724934
scotland_wide,All cancer types,Male,2001,12759,524.256358441949
scotland_wide,All cancer types,Male,2002,13161,540.35190001786
scotland_wide,All cancer types,Male,2003,13290,545.099274513471
scotland_wide,All cancer types,Male,2004,13607,556.158886423339
scotland_wide,All cancer types,Male,2005,13330,541.589437015139
scotland_wide,All cancer types,Male,2006,13758,555.864414011112
scotland_wide,All cancer types,Male,2007,13963,559.289806489652
scotland_wide,All cancer types,Male,2008,14473,575.399018327053
scotland_wide,All cancer types,Male,2009,14927,589.541183166145
scotland_wide,All cancer types,Male,2010,14741,578.482688686761
scotland_wide,All cancer types,Male,2011,15362,597.673423335797
scotland_wide,All cancer types,Male,2012,15295,593.452812838291
scotland_wide,All cancer types,Male,2013,15764,609.429848299751
scotland_wide,All cancer types,Male,2014,16197,623.794063615672
scotland_wide,All cancer types,Male,2015,15881,608.358114959419
scotland_wide,All cancer types,Male,2016,15933,606.393218199941
scotland_wide,All cancer types,Male,2017,16193,613.301518766807
scotland_wide,All cancer types,Male,2018,16733,631.731710530737
scotland_wide,All cancer types,Female,1994,12986,490.247154633602
scotland_wide,All cancer types,Female,1995,13169,496.880208064107
scotland_wide,All cancer types,Female,1996,13842,523.293398911979
scotland_wide,All cancer types,Female,1997,13589,514.536440115137
scotland_wide,All cancer types,Female,1998,13277,503.282881217735
scotland_wide,All cancer types,Female,1999,13418,509.141823963209
scotland_wide,All cancer types,Female,2000,13628,517.975198915703
scotland_wide,All cancer types,Female,2001,13432,510.631762344861
scotland_wide,All cancer types,Female,2002,13606,517.266615089541
scotland_wide,All cancer types,Female,2003,13843,526.267368001667
scotland_wide,All cancer types,Female,2004,14234,539.637418551107
scotland_wide,All cancer types,Female,2005,14194,535.839808284565
scotland_wide,All cancer types,Female,2006,14305,538.199565377044
scotland_wide,All cancer types,Female,2007,14954,559.354031003489
scotland_wide,All cancer types,Female,2008,15339,570.731827108329
scotland_wide,All cancer types,Female,2009,15673,580.496316387345
scotland_wide,All cancer types,Female,2010,15856,584.233793739236
scotland_wide,All cancer types,Female,2011,15941,584.004982415006
scotland_wide,All cancer types,Female,2012,16317,596.314014128516
scotland_wide,All cancer types,Female,2013,16459,600.469898067143
scotland_wide,All cancer types,Female,2014,16628,604.419371371866
scotland_wide,All cancer types,Female,2015,16694,604.300911012401
scotland_wide,All cancer types,Female,2016,16558,596.212656142146
scotland_wide,All cancer types,Female,2017,16597,596.049560064644
scotland_wide,All cancer types,Female,2018,17225,617.527602318677
scotland_wide,Bladder,All,1994,1397,27.380292069515
scotland_wide,Bladder,All,1995,1382,27.0784471627391
scotland_wide,Bladder,All,1996,1388,27.257427550818
scotland_wide,Bladder,All,1997,1192,23.4491495748858
scotland_wide,Bladder,All,1998,930,18.3176517164428
scotland_wide,Bladder,All,1999,826,16.2856495036426
scotland_wide,Bladder,All,2000,751,14.833278687877
scotland_wide,Bladder,All,2001,799,15.7774179534774
scotland_wide,Bladder,All,2002,788,15.5546782471378
scotland_wide,Bladder,All,2003,774,15.2707901746079
scotland_wide,Bladder,All,2004,818,16.0887437798714
scotland_wide,Bladder,All,2005,738,14.4417048256428
scotland_wide,Bladder,All,2006,725,14.1242937853107
scotland_wide,Bladder,All,2007,748,14.468085106383
scotland_wide,Bladder,All,2008,767,14.74177862346
scotland_wide,Bladder,All,2009,757,14.4689309810967
scotland_wide,Bladder,All,2010,798,15.1647599863175
scotland_wide,Bladder,All,2011,804,15.1700975490104
scotland_wide,Bladder,All,2012,854,16.0719662752183
scotland_wide,Bladder,All,2013,813,15.2598682358241
scotland_wide,Bladder,All,2014,858,16.0445807465031
scotland_wide,Bladder,All,2015,849,15.8012283640424
scotland_wide,Bladder,All,2016,893,16.522656206635
scotland_wide,Bladder,All,2017,844,15.5581772599912
scotland_wide,Bladder,All,2018,809,14.876519372575
scotland_wide,Bladder,Male,1994,978,39.8639896109063
scotland_wide,Bladder,Male,1995,931,37.948065361976
scotland_wide,Bladder,Male,1996,936,38.2506068605896
scotland_wide,Bladder,Male,1997,808,33.0832707562721
scotland_wide,Bladder,Male,1998,628,25.7483524949457
scotland_wide,Bladder,Male,1999,582,23.8863796333728
scotland_wide,Bladder,Male,2000,513,21.0943918523837
scotland_wide,Bladder,Male,2001,518,21.2841753799616
scotland_wide,Bladder,Male,2002,539,22.1297526107155
scotland_wide,Bladder,Male,2003,520,21.3281883180591
scotland_wide,Bladder,Male,2004,551,22.521022004796
scotland_wide,Bladder,Male,2005,479,19.4614658912417
scotland_wide,Bladder,Male,2006,489,19.7570648678176
scotland_wide,Bladder,Male,2007,507,20.3079518649469
scotland_wide,Bladder,Male,2008,496,19.7193334547239
scotland_wide,Bladder,Male,2009,488,19.27353770919
scotland_wide,Bladder,Male,2010,560,21.9761417586721
scotland_wide,Bladder,Male,2011,554,21.5539042135159
scotland_wide,Bladder,Male,2012,572,22.1938547854529
scotland_wide,Bladder,Male,2013,551,21.301436590533
scotland_wide,Bladder,Male,2014,564,21.7212972698178
scotland_wide,Bladder,Male,2015,569,21.7968495316359
scotland_wide,Bladder,Male,2016,592,22.5308972054456
scotland_wide,Bladder,Male,2017,584,22.1186986327311
scotland_wide,Bladder,Male,2018,583,22.0103739460599
scotland_wide,Bladder,Female,1994,419,15.8180777600092
scotland_wide,Bladder,Female,1995,451,17.0167039135023
scotland_wide,Bladder,Female,1996,452,17.0877486135107
scotland_wide,Bladder,Female,1997,384,14.5398478919871
scotland_wide,Bladder,Female,1998,302,11.4477238930297
scotland_wide,Bladder,Female,1999,244,9.25850387889573
scotland_wide,Bladder,Female,2000,238,9.04594198282487
scotland_wide,Bladder,Female,2001,281,10.6825137893766
scotland_wide,Bladder,Female,2002,249,9.466366835021
scotland_wide,Bladder,Female,2003,254,9.65628198168196
scotland_wide,Bladder,Female,2004,267,10.1224666821094
scotland_wide,Bladder,Female,2005,259,9.77754757966059
scotland_wide,Bladder,Female,2006,236,8.87907007542695
scotland_wide,Bladder,Female,2007,241,9.01459953670195
scotland_wide,Bladder,Female,2008,271,10.0833382323722
scotland_wide,Bladder,Female,2009,269,9.9632175785233
scotland_wide,Bladder,Female,2010,238,8.76940230259449
scotland_wide,Bladder,Female,2011,250,9.1588511137163
scotland_wide,Bladder,Female,2012,282,10.3058498488841
scotland_wide,Bladder,Female,2013,262,9.55848552728546
scotland_wide,Bladder,Female,2014,294,10.6867509732577
scotland_wide,Bladder,Female,2015,280,10.1356328671063
scotland_wide,Bladder,Female,2016,301,10.8382660646688
scotland_wide,Bladder,Female,2017,260,9.33740348356976
scotland_wide,Bladder,Female,2018,226,8.10224894769353
scotland_wide,Bone and articular cartilage,All,1994,43,0.8427720536787
scotland_wide,Bone and articular cartilage,All,1995,34,0.666184662469703
scotland_wide,Bone and articular cartilage,All,1996,45,0.883706224630267
scotland_wide,Bone and articular cartilage,All,1997,51,1.00327737275099
scotland_wide,Bone and articular cartilage,All,1998,49,0.965123585059887
scotland_wide,Bone and articular cartilage,All,1999,47,0.926665286526878
scotland_wide,Bone and articular cartilage,All,2000,42,0.829557529814693
scotland_wide,Bone and articular cartilage,All,2001,32,0.631886576359543
scotland_wide,Bone and articular cartilage,All,2002,44,0.868535333596526
scotland_wide,Bone and articular cartilage,All,2003,42,0.828647528854691
scotland_wide,Bone and articular cartilage,All,2004,35,0.688393682512834
scotland_wide,Bone and articular cartilage,All,2005,43,0.841454346209542
scotland_wide,Bone and articular cartilage,All,2006,40,0.779271381258523
scotland_wide,Bone and articular cartilage,All,2007,43,0.831721470019342
scotland_wide,Bone and articular cartilage,All,2008,43,0.826462165330873
scotland_wide,Bone and articular cartilage,All,2009,54,1.03212981899501
scotland_wide,Bone and articular cartilage,All,2010,48,0.912166014214587
scotland_wide,Bone and articular cartilage,All,2011,53,1.00001886828053
scotland_wide,Bone and articular cartilage,All,2012,40,0.752785305630834
scotland_wide,Bone and articular cartilage,All,2013,55,1.0323404095576
scotland_wide,Bone and articular cartilage,All,2014,60,1.12199865360162
scotland_wide,Bone and articular cartilage,All,2015,51,0.949190396426577
scotland_wide,Bone and articular cartilage,All,2016,49,0.906618313689937
scotland_wide,Bone and articular cartilage,All,2017,43,0.792655950449786
scotland_wide,Bone and articular cartilage,All,2018,42,0.772328570640481
scotland_wide,Bone and articular cartilage,Male,1994,24,0.978257413764571
scotland_wide,Bone and articular cartilage,Male,1995,14,0.570647599428211
scotland_wide,Bone and articular cartilage,Male,1996,26,1.0625168572386
scotland_wide,Bone and articular cartilage,Male,1997,28,1.1464499767025
scotland_wide,Bone and articular cartilage,Male,1998,31,1.27101740022821
scotland_wide,Bone and articular cartilage,Male,1999,27,1.10813101391936
scotland_wide,Bone and articular cartilage,Male,2000,24,0.98687213344485
scotland_wide,Bone and articular cartilage,Male,2001,18,0.739604549882834
scotland_wide,Bone and articular cartilage,Male,2002,27,1.10854048328259
scotland_wide,Bone and articular cartilage,Male,2003,21,0.861330682075462
scotland_wide,Bone and articular cartilage,Male,2004,18,0.7357139674888
scotland_wide,Bone and articular cartilage,Male,2005,30,1.21888095352244
scotland_wide,Bone and articular cartilage,Male,2006,21,0.848462908433883
scotland_wide,Bone and articular cartilage,Male,2007,23,0.921268033321063
scotland_wide,Bone and articular cartilage,Male,2008,24,0.954161296196316
scotland_wide,Bone and articular cartilage,Male,2009,34,1.34282844695176
scotland_wide,Bone and articular cartilage,Male,2010,32,1.25577952906698
scotland_wide,Bone and articular cartilage,Male,2011,29,1.12827296424542
scotland_wide,Bone and articular cartilage,Male,2012,23,0.892410244869611
scotland_wide,Bone and articular cartilage,Male,2013,33,1.27576661975969
scotland_wide,Bone and articular cartilage,Male,2014,33,1.27092696791487
scotland_wide,Bone and articular cartilage,Male,2015,37,1.41736982894645
scotland_wide,Bone and articular cartilage,Male,2016,29,1.10370949148298
scotland_wide,Bone and articular cartilage,Male,2017,24,0.908987615043745
scotland_wide,Bone and articular cartilage,Male,2018,22,0.830580148907919
scotland_wide,Bone and articular cartilage,Female,1994,19,0.717287535656741
scotland_wide,Bone and articular cartilage,Female,1995,20,0.754621016119837
scotland_wide,Bone and articular cartilage,Female,1996,19,0.718290317824563
scotland_wide,Bone and articular cartilage,Female,1997,23,0.870876306030478
scotland_wide,Bone and articular cartilage,Female,1998,18,0.682314669120978
scotland_wide,Bone and articular cartilage,Female,1999,20,0.758893760565224
scotland_wide,Bone and articular cartilage,Female,2000,18,0.684146872650621
scotland_wide,Bone and articular cartilage,Female,2001,14,0.532224886303459
scotland_wide,Bone and articular cartilage,Female,2002,17,0.646298137330751
scotland_wide,Bone and articular cartilage,Female,2003,21,0.798354022107563
scotland_wide,Bone and articular cartilage,Female,2004,17,0.644501623954533
scotland_wide,Bone and articular cartilage,Female,2005,13,0.49076493643084
scotland_wide,Bone and articular cartilage,Female,2006,19,0.714840387428441
scotland_wide,Bone and articular cartilage,Female,2007,20,0.74809954661427
scotland_wide,Bone and articular cartilage,Female,2008,19,0.706949912970745
scotland_wide,Bone and articular cartilage,Female,2009,20,0.740759671265673
scotland_wide,Bone and articular cartilage,Female,2010,16,0.589539650594588
scotland_wide,Bone and articular cartilage,Female,2011,24,0.879249706916764
scotland_wide,Bone and articular cartilage,Female,2012,17,0.621274636280246
scotland_wide,Bone and articular cartilage,Female,2013,22,0.802620922138474
scotland_wide,Bone and articular cartilage,Female,2014,27,0.981436313870603
scotland_wide,Bone and articular cartilage,Female,2015,14,0.506781643355314
scotland_wide,Bone and articular cartilage,Female,2016,20,0.720150569080983
scotland_wide,Bone and articular cartilage,Female,2017,19,0.682348716107021
scotland_wide,Bone and articular cartilage,Female,2018,20,0.717013181211817
scotland_wide,Bone and connective tissue,All,1994,175,3.42988626497145
scotland_wide,Bone and connective tissue,All,1995,160,3.13498664691625
scotland_wide,Bone and connective tissue,All,1996,193,3.7901178078587
scotland_wide,Bone and connective tissue,All,1997,169,3.3245858038219
scotland_wide,Bone and connective tissue,All,1998,138,2.71810315792376
scotland_wide,Bone and connective tissue,All,1999,145,2.85886099034888
scotland_wide,Bone and connective tissue,All,2000,162,3.19972190071381
scotland_wide,Bone and connective tissue,All,2001,137,2.7052644050393
scotland_wide,Bone and connective tissue,All,2002,169,3.33596525858666
scotland_wide,Bone and connective tissue,All,2003,178,3.51188714609845
scotland_wide,Bone and connective tissue,All,2004,161,3.16661093955903
scotland_wide,Bone and connective tissue,All,2005,174,3.40495479628977
scotland_wide,Bone and connective tissue,All,2006,168,3.2729398012858
scotland_wide,Bone and connective tissue,All,2007,191,3.69439071566731
scotland_wide,Bone and connective tissue,All,2008,178,3.42116896346268
scotland_wide,Bone and connective tissue,All,2009,175,3.3448651541505
scotland_wide,Bone and connective tissue,All,2010,163,3.0975637566037
scotland_wide,Bone and connective tissue,All,2011,183,3.45289533764788
scotland_wide,Bone and connective tissue,All,2012,192,3.613369467028
scotland_wide,Bone and connective tissue,All,2013,198,3.71642547440734
scotland_wide,Bone and connective tissue,All,2014,220,4.11399506320592
scotland_wide,Bone and connective tissue,All,2015,217,4.03871207891308
scotland_wide,Bone and connective tissue,All,2016,197,3.64497566932485
scotland_wide,Bone and connective tissue,All,2017,189,3.4839994101165
scotland_wide,Bone and connective tissue,All,2018,183,3.36514591493352
scotland_wide,Bone and connective tissue,Male,1994,92,3.74998675276419
scotland_wide,Bone and connective tissue,Male,1995,78,3.17932233967146
scotland_wide,Bone and connective tissue,Male,1996,117,4.7813258575737
scotland_wide,Bone and connective tissue,Male,1997,94,3.84879635035839
scotland_wide,Bone and connective tissue,Male,1998,76,3.116042658624
scotland_wide,Bone and connective tissue,Male,1999,81,3.32439304175807
scotland_wide,Bone and connective tissue,Male,2000,96,3.9474885337794
scotland_wide,Bone and connective tissue,Male,2001,79,3.24604219115244
scotland_wide,Bone and connective tissue,Male,2002,98,4.02359138376645
scotland_wide,Bone and connective tissue,Male,2003,107,4.38868490390831
scotland_wide,Bone and connective tissue,Male,2004,84,3.43333184828107
scotland_wide,Bone and connective tissue,Male,2005,100,4.06293651174148
scotland_wide,Bone and connective tissue,Male,2006,86,3.47465762501495
scotland_wide,Bone and connective tissue,Male,2007,100,4.00551318835245
scotland_wide,Bone and connective tissue,Male,2008,103,4.09494222950919
scotland_wide,Bone and connective tissue,Male,2009,110,4.34444497543216
scotland_wide,Bone and connective tissue,Male,2010,100,3.92431102833431
scotland_wide,Bone and connective tissue,Male,2011,108,4.20184414270708
scotland_wide,Bone and connective tissue,Male,2012,111,4.3068494426316
scotland_wide,Bone and connective tissue,Male,2013,121,4.67781093911887
scotland_wide,Bone and connective tissue,Male,2014,124,4.77560436428618
scotland_wide,Bone and connective tissue,Male,2015,133,5.09486992567236
scotland_wide,Bone and connective tissue,Male,2016,108,4.11036638207454
scotland_wide,Bone and connective tissue,Male,2017,104,3.93894633185623
scotland_wide,Bone and connective tissue,Male,2018,102,3.85087159948217
scotland_wide,Bone and connective tissue,Female,1994,83,3.13341397155313
scotland_wide,Bone and connective tissue,Female,1995,82,3.09394616609133
scotland_wide,Bone and connective tissue,Female,1996,76,2.87316127129825
scotland_wide,Bone and connective tissue,Female,1997,75,2.83981404140373
scotland_wide,Bone and connective tissue,Female,1998,62,2.3501949714167
scotland_wide,Bone and connective tissue,Female,1999,64,2.42846003380872
scotland_wide,Bone and connective tissue,Female,2000,66,2.50853853305228
scotland_wide,Bone and connective tissue,Female,2001,58,2.20493167182861
scotland_wide,Bone and connective tissue,Female,2002,71,2.69924516179314
scotland_wide,Bone and connective tissue,Female,2003,71,2.6991969318874798
scotland_wide,Bone and connective tissue,Female,2004,77,2.91921323791171
scotland_wide,Bone and connective tissue,Female,2005,74,2.79358502276017
scotland_wide,Bone and connective tissue,Female,2006,82,3.08510061942801
scotland_wide,Bone and connective tissue,Female,2007,91,3.40385293709493
scotland_wide,Bone and connective tissue,Female,2008,75,2.79059176172662
scotland_wide,Bone and connective tissue,Female,2009,65,2.40746893161344
scotland_wide,Bone and connective tissue,Female,2010,63,2.32131237421619
scotland_wide,Bone and connective tissue,Female,2011,75,2.74765533411489
scotland_wide,Bone and connective tissue,Female,2012,81,2.96019091404117
scotland_wide,Bone and connective tissue,Female,2013,77,2.80917322748466
scotland_wide,Bone and connective tissue,Female,2014,96,3.48955133820659
scotland_wide,Bone and connective tissue,Female,2015,84,3.04068986013189
scotland_wide,Bone and connective tissue,Female,2016,89,3.20467003241038
scotland_wide,Bone and connective tissue,Female,2017,85,3.05261267732088
scotland_wide,Bone and connective tissue,Female,2018,81,2.90390338390786
scotland_wide,Connective tissue,All,1994,132,2.58711421129275
scotland_wide,Connective tissue,All,1995,126,2.46880198444655
scotland_wide,Connective tissue,All,1996,148,2.90641158322843
scotland_wide,Connective tissue,All,1997,118,2.32130843107091
scotland_wide,Connective tissue,All,1998,89,1.75297957286388
scotland_wide,Connective tissue,All,1999,98,1.932195703822
scotland_wide,Connective tissue,All,2000,120,2.37016437089912
scotland_wide,Connective tissue,All,2001,105,2.07337782867975
scotland_wide,Connective tissue,All,2002,125,2.46742992499013
scotland_wide,Connective tissue,All,2003,136,2.68323961724376
scotland_wide,Connective tissue,All,2004,126,2.4782172570462
scotland_wide,Connective tissue,All,2005,131,2.56350045008023
scotland_wide,Connective tissue,All,2006,128,2.49366842002727
scotland_wide,Connective tissue,All,2007,148,2.86266924564797
scotland_wide,Connective tissue,All,2008,135,2.59470679813181
scotland_wide,Connective tissue,All,2009,121,2.31273533515549
scotland_wide,Connective tissue,All,2010,115,2.18539774238911
scotland_wide,Connective tissue,All,2011,130,2.45287646936735
scotland_wide,Connective tissue,All,2012,152,2.86058416139717
scotland_wide,Connective tissue,All,2013,143,2.68408506484975
scotland_wide,Connective tissue,All,2014,160,2.99199640960431
scotland_wide,Connective tissue,All,2015,166,3.08952168248651
scotland_wide,Connective tissue,All,2016,148,2.73835735563491
scotland_wide,Connective tissue,All,2017,146,2.69134345966672
scotland_wide,Connective tissue,All,2018,141,2.59281734429304
scotland_wide,Connective tissue,Male,1994,68,2.77172933899962
scotland_wide,Connective tissue,Male,1995,64,2.60867474024325
scotland_wide,Connective tissue,Male,1996,91,3.7188090003351
scotland_wide,Connective tissue,Male,1997,66,2.70234637365589
scotland_wide,Connective tissue,Male,1998,45,1.84502525839579
scotland_wide,Connective tissue,Male,1999,54,2.21626202783871
scotland_wide,Connective tissue,Male,2000,72,2.96061640033455
scotland_wide,Connective tissue,Male,2001,61,2.5064376412696
scotland_wide,Connective tissue,Male,2002,71,2.91505090048386
scotland_wide,Connective tissue,Male,2003,86,3.52735422183285
scotland_wide,Connective tissue,Male,2004,66,2.69761788079227
scotland_wide,Connective tissue,Male,2005,70,2.84405555821904
scotland_wide,Connective tissue,Male,2006,65,2.62619471658107
scotland_wide,Connective tissue,Male,2007,77,3.08424515503139
scotland_wide,Connective tissue,Male,2008,79,3.14078093331287
scotland_wide,Connective tissue,Male,2009,76,3.0016165284804
scotland_wide,Connective tissue,Male,2010,68,2.66853149926733
scotland_wide,Connective tissue,Male,2011,79,3.07357117846166
scotland_wide,Connective tissue,Male,2012,88,3.41443919776199
scotland_wide,Connective tissue,Male,2013,88,3.40204431935918
scotland_wide,Connective tissue,Male,2014,91,3.50467739637131
scotland_wide,Connective tissue,Male,2015,96,3.67750009672591
scotland_wide,Connective tissue,Male,2016,79,3.00665689059156
scotland_wide,Connective tissue,Male,2017,80,3.02995871681248
scotland_wide,Connective tissue,Male,2018,80,3.02029145057425
scotland_wide,Connective tissue,Female,1994,64,2.41612643589639
scotland_wide,Connective tissue,Female,1995,62,2.33932514997149
scotland_wide,Connective tissue,Female,1996,57,2.15487095347369
scotland_wide,Connective tissue,Female,1997,52,1.96893773537325
scotland_wide,Connective tissue,Female,1998,44,1.66788030229572
scotland_wide,Connective tissue,Female,1999,44,1.66956627324349
scotland_wide,Connective tissue,Female,2000,48,1.82439166040166
scotland_wide,Connective tissue,Female,2001,44,1.67270678552516
scotland_wide,Connective tissue,Female,2002,54,2.05294702446238
scotland_wide,Connective tissue,Female,2003,50,1.90084290977991
scotland_wide,Connective tissue,Female,2004,60,2.27471161395718
scotland_wide,Connective tissue,Female,2005,61,2.30282008632933
scotland_wide,Connective tissue,Female,2006,63,2.37026023199957
scotland_wide,Connective tissue,Female,2007,71,2.65575339048066
scotland_wide,Connective tissue,Female,2008,56,2.08364184875588
scotland_wide,Connective tissue,Female,2009,45,1.66670926034776
scotland_wide,Connective tissue,Female,2010,47,1.7317727236216
scotland_wide,Connective tissue,Female,2011,51,1.86840562719812
scotland_wide,Connective tissue,Female,2012,64,2.33891627776093
scotland_wide,Connective tissue,Female,2013,55,2.00655230534618
scotland_wide,Connective tissue,Female,2014,69,2.50811502433599
scotland_wide,Connective tissue,Female,2015,70,2.53390821677657
scotland_wide,Connective tissue,Female,2016,69,2.48451946332939
scotland_wide,Connective tissue,Female,2017,66,2.37026396121386
scotland_wide,Connective tissue,Female,2018,61,2.18689020269604
scotland_wide,Malignant brain cancer,All,1994,357,6.99696798054176
scotland_wide,Malignant brain cancer,All,1995,329,6.44631629272154
scotland_wide,Malignant brain cancer,All,1996,370,7.26602895807109
scotland_wide,Malignant brain cancer,All,1997,343,6.74753213438409
scotland_wide,Malignant brain cancer,All,1998,340,6.69677589633391
scotland_wide,Malignant brain cancer,All,1999,376,7.41332229221503
scotland_wide,Malignant brain cancer,All,2000,412,8.13756434008699
scotland_wide,Malignant brain cancer,All,2001,383,7.56289246080329
scotland_wide,Malignant brain cancer,All,2002,374,7.38255033557047
scotland_wide,Malignant brain cancer,All,2003,361,7.12242280753675
scotland_wide,Malignant brain cancer,All,2004,383,7.53299372578329
scotland_wide,Malignant brain cancer,All,2005,353,6.90775312120856
scotland_wide,Malignant brain cancer,All,2006,386,7.51996882914475
scotland_wide,Malignant brain cancer,All,2007,389,7.52417794970986
scotland_wide,Malignant brain cancer,All,2008,428,8.22618155259567
scotland_wide,Malignant brain cancer,All,2009,404,7.72186012729601
scotland_wide,Malignant brain cancer,All,2010,397,7.54437307589981
scotland_wide,Malignant brain cancer,All,2011,413,7.79259986037472
scotland_wide,Malignant brain cancer,All,2012,430,8.09244203553147
scotland_wide,Malignant brain cancer,All,2013,447,8.390112055859
scotland_wide,Malignant brain cancer,All,2014,457,8.54588974493231
scotland_wide,Malignant brain cancer,All,2015,418,7.77963893541783
scotland_wide,Malignant brain cancer,All,2016,419,7.75251170277721
scotland_wide,Malignant brain cancer,All,2017,455,8.38740598731751
scotland_wide,Malignant brain cancer,All,2018,451,8.29333774663945
scotland_wide,Malignant brain cancer,Male,1994,198,8.07062366355771
scotland_wide,Malignant brain cancer,Male,1995,181,7.37765824975044
scotland_wide,Malignant brain cancer,Male,1996,207,8.45926882493809
scotland_wide,Malignant brain cancer,Male,1997,189,7.73853734274187
scotland_wide,Malignant brain cancer,Male,1998,190,7.79010664655999
scotland_wide,Malignant brain cancer,Male,1999,215,8.82400622195043
scotland_wide,Malignant brain cancer,Male,2000,226,9.29304592327234
scotland_wide,Malignant brain cancer,Male,2001,226,9.28614601519559
scotland_wide,Malignant brain cancer,Male,2002,216,8.86832386626075
scotland_wide,Malignant brain cancer,Male,2003,220,9.02346428840961
scotland_wide,Malignant brain cancer,Male,2004,220,8.99205960264089
scotland_wide,Malignant brain cancer,Male,2005,203,8.24776111883521
scotland_wide,Malignant brain cancer,Male,2006,228,9.21188300585359
scotland_wide,Malignant brain cancer,Male,2007,216,8.65190848684129
scotland_wide,Malignant brain cancer,Male,2008,239,9.50185624128831
scotland_wide,Malignant brain cancer,Male,2009,221,8.72838490518644
scotland_wide,Malignant brain cancer,Male,2010,224,8.79045670346886
scotland_wide,Malignant brain cancer,Male,2011,238,9.2596194996693
scotland_wide,Malignant brain cancer,Male,2012,257,9.97171447528218
